Unnamed: 0,subjid,g,d,c,rt_mu,rt_sd,ice,prob,notation,operation,operands,denoms,key,steps,time,acc,ans,KDON_AS,KDON_OG,CDON_AS,CDON_OG,ONOD_M,ONOD_OG,CROP_M,ICDM_D,ICDM_OG
1,780,0.08,0.9,5,3,1,0,4/5+3/5,fraction,add,FR,ED,1.4,12,0.02801987598650157,1,7/5,0,1,0,0,0,0,0,0,0
2,780,0.08,0.9,5,3,1,0,3/5+1/4,fraction,add,FR,UD,0.85,18,0.04729651100933552,0,4/9,0,0,0,0,0,0,0,0,1
3,780,0.08,0.9,5,3,1,0,2/3+3/5,fraction,add,FR,UD,1.266666666666667,72,0.1608864879235625,1,19/15,0,0,0,1,0,0,0,0,0
4,780,0.08,0.9,5,3,1,0,3/5-1/5,fraction,sub,FR,ED,0.4,8,0.01960896793752909,1,2/5,0,1,0,0,0,0,0,0,0
5,780,0.08,0.9,5,3,1,0,4/5-3/5,fraction,sub,FR,ED,0.2000000000000001,8,0.01930209482088685,1,1/5,1,0,0,0,0,0,0,0,0
6,780,0.08,0.9,5,3,1,0,3/5-1/4,fraction,sub,FR,UD,0.35,13,0.03304746700450778,0,2/1,0,0,0,0,0,1,0,0,0
7,780,0.08,0.9,5,3,1,0,2/3-3/5,fraction,sub,FR,UD,0.06666666666666665,16,0.03847004007548094,0,1/2,0,0,0,0,0,0,0,0,1
8,780,0.08,0.9,5,3,1,0,3/5*1/5,fraction,mul,FR,ED,0.12,8,0.02259306306950748,0,3/5,0,1,0,0,0,0,0,0,0
9,780,0.08,0.9,5,3,1,0,4/5*3/5,fraction,mul,FR,ED,0.4800000000000001,9,0.03199464804492891,0,12/5,0,1,0,0,0,0,0,0,0
10,780,0.08,0.9,5,3,1,0,3/5*1/4,fraction,mul,FR,UD,0.15,170,0.6371812110301107,0,3/40,0,0,0,0,0,0,0,0,1
11,780,0.08,0.9,5,3,1,0,2/3*3/5,fraction,mul,FR,UD,0.4,25,0.08229615399613976,1,2/5,0,0,0,0,1,0,0,0,0
12,780,0.08,0.9,5,3,1,0,3/5:1/5,fraction,div,FR,ED,3.0,24,0.07163275801576674,1,3/1,0,0,0,0,0,0,0,0,1
13,780,0.08,0.9,5,3,1,0,4/5:3/5,fraction,div,FR,ED,1.333333333333333,8,0.02087193797342479,0,1.333/5,0,1,0,0,0,0,0,0,0
14,780,0.08,0.9,5,3,1,0,3/5:1/4,fraction,div,FR,UD,2.4,17,0.04886668408289552,1,12/5,0,0,0,0,0,0,0,0,1
15,780,0.08,0.9,5,3,1,0,2/3:3/5,fraction,div,FR,UD,1.111111111111111,18,0.06144249602220953,0,9/10,0,0,0,0,0,0,0,1,0
0,244,0.03,0.5,5,3,1,100,3/5+1/5,fraction,add,FR,ED,0.8,9,0.03883298300206661,1,4/5,1,0,0,0,0,0,0,0,0
1,244,0.03,0.5,5,3,1,100,4/5+3/5,fraction,add,FR,ED,1.4,15,0.06641647196374834,0,9/8,0,0,0,0,0,0,0,0,1
2,244,0.03,0.5,5,3,1,100,3/5+1/4,fraction,add,FR,UD,0.85,15,0.06266474886797369,0,4/9,0,0,0,0,0,1,0,0,0
3,244,0.03,0.5,5,3,1,100,2/3+3/5,fraction,add,FR,UD,1.266666666666667,66,0.2317003549542278,1,19/15,0,0,0,1,0,0,0,0,0
4,244,0.03,0.5,5,3,1,100,3/5-1/5,fraction,sub,FR,ED,0.4,8,0.02982941991649568,1,2/5,1,0,0,0,0,0,0,0,0
5,244,0.03,0.5,5,3,1,100,4/5-3/5,fraction,sub,FR,ED,0.2000000000000001,11,0.03433772409334779,1,1/5,0,1,0,0,0,0,0,0,0
6,244,0.03,0.5,5,3,1,100,3/5-1/4,fraction,sub,FR,UD,0.35,10,0.04111511399969459,0,2/1,0,0,0,0,0,1,0,0,0
7,244,0.03,0.5,5,3,1,100,2/3-3/5,fraction,sub,FR,UD,0.06666666666666665,25,0.1163163350429386,1,1/15,0,0,1,0,0,0,0,0,0
8,244,0.03,0.5,5,3,1,100,3/5*1/5,fraction,mul,FR,ED,0.12,15,0.06389225111342967,1,3/25,0,0,0,0,1,0,0,0,0
9,244,0.03,0.5,5,3,1,100,4/5*3/5,fraction,mul,FR,ED,0.4800000000000001,12,0.05746364500373602,1,12/25,0,0,0,0,1,0,0,0,0
10,244,0.03,0.5,5,3,1,100,3/5*1/4,fraction,mul,FR,UD,0.15,15,0.062859594123438,1,3/20,0,0,0,0,1,0,0,0,0
11,244,0.03,0.5,5,3,1,100,2/3*3/5,fraction,mul,FR,UD,0.4,19,0.08381639001891017,1,2/5,0,0,0,0,1,0,0,0,0
12,244,0.03,0.5,5,3,1,100,3/5:1/5,fraction,div,FR,ED,3.0,15,0.06417340901680291,0,3/25,0,0,0,0,0,0,0,1,0
13,244,0.03,0.5,5,3,1,100,4/5:3/5,fraction,div,FR,ED,1.333333333333333,13,0.05348663101904094,0,1/1,0,0,0,0,0,1,0,0,0
14,244,0.03,0.5,5,3,1,100,3/5:1/4,fraction,div,FR,UD,2.4,15,0.0648483990225941,1,12/5,0,0,0,0,0,0,0,1,0
15,244,0.03,0.5,5,3,1,100,2/3:3/5,fraction,div,FR,UD,1.111111111111111,15,0.06439012195914984,1,10/9,0,0,0,0,0,0,0,0,1
0,517,0.06,0.1,5,6,1,50,3/5+1/5,fraction,add,FR,ED,0.8,9,0.04464278812520206,1,4/5,1,0,0,0,0,0,0,0,0
1,517,0.06,0.1,5,6,1,50,4/5+3/5,fraction,add,FR,ED,1.4,12,0.06851112586446106,0,7/10,0,0,0,0,0,1,0,0,0
2,517,0.06,0.1,5,6,1,50,3/5+1/4,fraction,add,FR,UD,0.85,12,0.0670085500460118,0,4/9,0,0,0,0,0,1,0,0,0
