model,set,prob,accuracy
uma-60,sd_add,1+8,0.8666666666666667
uma-60,sd_add,1+9,0.8333333333333334
uma-60,sd_add,2+1,0.9
uma-60,sd_add,2+2,0.75
uma-60,sd_add,2+3,0.8
uma-60,sd_add,2+4,0.9
uma-60,sd_add,2+5,0.8833333333333333
uma-60,sd_add,2+6,0.8
uma-60,sd_add,2+7,0.8166666666666667
uma-60,sd_add,2+8,0.8166666666666667
uma-60,sd_add,2+9,0.9666666666666667
uma-60,sd_add,3+1,0.85
uma-60,sd_add,3+2,0.75
uma-60,sd_add,3+3,0.8333333333333334
uma-60,sd_add,3+4,0.75
uma-60,sd_add,3+5,0.8833333333333333
uma-60,sd_add,3+6,0.85
uma-60,sd_add,3+7,0.8833333333333333
uma-60,sd_add,3+8,0.85
uma-60,sd_add,3+9,0.9166666666666666
uma-60,sd_add,4+1,0.8666666666666667
uma-60,sd_add,4+2,0.9333333333333333
uma-60,sd_add,4+3,0.7666666666666667
uma-60,sd_add,4+4,0.8
uma-60,sd_add,4+5,0.9166666666666666
uma-60,sd_add,4+6,0.8333333333333334
uma-60,sd_add,4+7,0.7833333333333333
uma-60,sd_add,4+8,0.8666666666666667
uma-60,sd_add,4+9,0.9
uma-60,sd_add,5+1,0.95
uma-60,sd_add,5+2,0.85
uma-60,sd_add,5+3,0.8666666666666667
uma-60,sd_add,5+4,0.8166666666666667
uma-60,sd_add,5+5,0.7833333333333333
uma-60,sd_add,5+6,0.8666666666666667
uma-60,sd_add,5+7,0.8666666666666667
uma-60,sd_add,5+8,0.85
uma-60,sd_add,5+9,0.9
uma-60,sd_add,6+1,0.9666666666666667
uma-60,sd_add,6+2,0.7833333333333333
uma-60,sd_add,6+3,0.8833333333333333
uma-60,sd_add,6+4,0.9333333333333333
uma-60,sd_add,6+5,0.8666666666666667
uma-60,sd_add,6+6,0.7833333333333333
uma-60,sd_add,6+7,0.85
uma-60,sd_add,6+8,0.8833333333333333
uma-60,sd_add,6+9,0.5666666666666667
uma-60,sd_add,7+1,0.9833333333333333
uma-60,sd_add,7+2,0.9166666666666666
uma-60,sd_add,7+3,0.8333333333333334
uma-60,sd_add,7+4,0.8333333333333334
uma-60,sd_add,7+5,0.8666666666666667
uma-60,sd_add,7+6,0.8166666666666667
uma-60,sd_add,7+7,0.7166666666666667
uma-60,sd_add,7+8,0.8333333333333334
uma-60,sd_add,7+9,0.8
uma-60,sd_add,8+1,0.8833333333333333
uma-60,sd_add,8+2,0.9
uma-60,sd_add,8+3,0.9
uma-60,sd_add,8+4,0.8666666666666667
uma-60,sd_add,8+5,0.8666666666666667
uma-60,sd_add,8+6,0.9
uma-60,sd_add,8+7,0.8166666666666667
uma-60,sd_add,8+8,0.8333333333333334
uma-60,sd_add,8+9,0.8333333333333334
uma-60,sd_add,9+1,0.9666666666666667
uma-60,sd_add,9+2,0.95
uma-60,sd_add,9+3,0.9
uma-60,sd_add,9+4,0.8166666666666667
uma-60,sd_add,9+5,0.8333333333333334
